 CÓDIGO ;Número;Ramal/Estrada;Classificação;Segmentação;Rodovia/Estrada de acesso;Ponto de referencia ;Local de Início ;Local Termino ;Município;Calha;Extensão (km);Extensão de Obra (km);Und;Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final;Traçado KML;Traçado SHP;Ficha de Cadastro;Fotos;Relatorio;Mapa ;Assentamento Oficial;Acesso a Comunidades ou Distritos;Zona Agrícola ou Agropecuária;Zonas ou Pontos de Turísticos ;Atividade Industrial ;Nota Uso de Solo;População;Qtd. Sub-Vicinais ;Nota Nível de Ocupação;Acesso intermodal;Via de Acesso Alternativa ;Boa trafegabilidade terrestre;Infraestrutura de Acesso ;Acesso a serviços publicos;Nota de Vulnerabilidade de Transporte;Relevo;Tipo de Terreno;Unidades de Conservação;Sitio Arqueológico ;Terra Indigena ;OAES;Nota de Dificuldade de Elaboração de projeto e execução;Desenvolvimento Local;Vulnerabilidade de transporte ;Dificuldade de Elaboração;Soma;Prioridade;Revestimento;Qualidade do Pavimento Existente ;Fonte;Situação;ANO DE CONCLUSÃO;numero_ct_cv;RESUMO DO OBJETO;Custo Estimado ;Custo Contratatado 
RMMAQ;232;RAMAL DO BOM INTENTO;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 40,80;Início do Ramal do Bom Intento - Am-354 - Km 40,80;Fim do Ramal do Bom Intento - Km 10,4;MANAQUIRI;RMM;10,40;;km;"  3°27'50.71""S";" 60°27'33.74""W";"  3°26'31.29""S";" 60°30'20.46""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 26.000.000,00;
RMMAQ;233;RAMAL CEMITÉRIO MUNICIPAL ;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 40,57;Início do Ramal do Cemitério Municipal - Am-354 - Km 40,57;Fim do Ramal do Cemitério - Km 0,40 ;MANAQUIRI;RMM;0,40;;km;"  3°27'54.50""S";" 60°27'32.92""W";"  3°27'57.97""S";" 60°27'45.25""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 1.000.000,00;
RMMAQ;234;RAMAL DO kM 40 - AM-354;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 40,66;Início do Ramal do Km 40 - Am-354 - Km 40,66;Fim do Ramal do Km 40 - Am-354 - Km 1,25;MANAQUIRI;RMM;1,25;;km;"  3°27'51.59""S";" 60°27'33.03""W";"  3°27'44.39""S";" 60°26'54.83""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 3.125.000,00;
RMMAQ;235;RAMAL DO MARTINS;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 40,38;Início do Ramal do Martins - Am-354 - Km 40,38;Fim do Ramal do Martins - Km 0,90;MANAQUIRI;RMM;0,90;;km;"  3°28'0.72""S";" 60°27'31.80""W";"  3°28'8.70""S";" 60°27'58.54""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 2.250.000,00;
RMMAQ;236;RAMAL DO VEREADOR;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 40,21;Início do Ramal do Vereador - Am-354 - Km 40,21;Fim do Ramal do Vereador - Km 0,30;MANAQUIRI;RMM;0,30;;km;"  3°28'5.89""S";" 60°27'30.85""W";"  3°28'6.28""S";" 60°27'39.48""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 750.000,00;
RMMAQ;237;RAMAL DO kM 39 - AM-354;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 39,94;Início do Ramal do Km 39 - Am-354 - Km 39,94;Fim do Ramal do Km 39- Am-354 - Km 0,44;MANAQUIRI;RMM;0,44;;km;"  3°28'14.00""S";" 60°27'28.93""W";"  3°28'15.42""S";" 60°27'17.24""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 1.100.000,00;
RMMAQ;238;RAMAL CAMPO DO LIMÃO ;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 39,21;Início do Ramal do Campo Limão - Am-354 - Km 39,21;Fim do Ramal do Campo do Limão - Km 4,67;MANAQUIRI;RMM;4,67;;km;"  3°28'37.05""S";" 60°27'23.89""W";"  3°30'5.16""S";" 60°28'52.31""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 11.675.000,00;
RMMAQ;239;RAMAL DO kM 38 - AM-354;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 38,44;Início do Ramal do Km 38 - Am-354 - Km 38,44;Fim do Ramal do Km 38 - Km 2,69;MANAQUIRI;RMM;2,69;;km;"  3°28'49.71""S";" 60°27'2.30""W";"  3°30'2.65""S";" 60°27'18.09""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 6.725.000,00;
RMMAQ;240;RAMAL DA COMUNIDADE JARAQUI;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 36,84;Início do Ramal da Comunidade jaraqui - Am-354 - Km 36,84;Fim do Ramal da Comunidade Jaraqui - Km 3,99;MANAQUIRI;RMM;3,99;;km;"  3°29'8.96""S";" 60°26'14.55""W";"  3°27'5.92""S";" 60°25'54.20""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 9.975.000,00;
RMMAQ;241;RAMAL DO kM 29 - AM-354 ;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 29,23;Início do Ramal do Km 29 - Am-254 - Km 29,23;Fim do Ramal do Km 29 - Am-354 - Km 2 ;MANAQUIRI;RMM;2,00;;km;"  3°32'42.17""S";" 60°25'2.28""W";"  3°32'36.04""S";" 60°24'0.11""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 5.000.000,00;
