 CÓDIGO ;Número;Ramal/Estrada;Classificação;Segmentação;Rodovia/Estrada de acesso;Ponto de referencia ;Local de Início ;Local Termino ;Município;Calha;Extensão (km);Extensão de Obra (km);Und;Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final;Traçado KML;Traçado SHP;Ficha de Cadastro;Fotos;Relatorio;Mapa ;Assentamento Oficial;Acesso a Comunidades ou Distritos;Zona Agrícola ou Agropecuária;Zonas ou Pontos de Turísticos ;Atividade Industrial ;Nota Uso de Solo;População;Qtd. Sub-Vicinais ;Nota Nível de Ocupação;Acesso intermodal;Via de Acesso Alternativa ;Boa trafegabilidade terrestre;Infraestrutura de Acesso ;Acesso a serviços publicos;Nota de Vulnerabilidade de Transporte;Relevo;Tipo de Terreno;Unidades de Conservação;Sitio Arqueológico ;Terra Indigena ;OAES;Nota de Dificuldade de Elaboração de projeto e execução;Desenvolvimento Local;Vulnerabilidade de transporte ;Dificuldade de Elaboração;Soma;Prioridade;Revestimento;Qualidade do Pavimento Existente ;Fonte;Situação;ANO DE CONCLUSÃO;numero_ct_cv;RESUMO DO OBJETO;Custo Estimado ;Custo Contratatado 
 RMALV ;1;RAMAL DO JARAUÁ ;ESTRADA;PRIMÁRIO;AM-363;AM-362 - KM 4,33;Início do Ramal do Jarauá - Am-362 - Km 4,33;Fim do Ramal do Jarauá - Km 2,7;ALVARÃES;INTERIOR;2,60;;km;"  3°14'9.57""S";" 64°49'45.33""W";"  3°15'4.63""S";" 64°50'48.25""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;;A VISITAR;;;;R$ 6.500.000,00;
RMMAO;333;RAMAL DE ACESSO A UNIDADE PRISIONAL;ESTRADA;PRIMÁRIO;BR-174;BR-174 - KM 08 ;Início Ramal Acesso Unidade Prisional - Manaus - Br-174 - 8 Km;Fim do Ramal de Acesso a Unidade Prisional - Manaus - 2,16 Km;MANAUS;RMM;2,16;2,16;km;"  2°54'36.75""S";" 60° 2'18.22""W";"  2°54'24.05""S";" 60° 1'18.47""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;CONCLUÍDO;;CT-00002/2022-SEINFRA;Ramais de Acesso as Unidades Prisionais, localizados na Rodovia BR-174, kM 8– em Manaus;R$ 5.400.000,00;R$ 2.798.055,65
RMCRO;63;RAMAL SÃO JOSÉ;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 11,13;Início do Ramal do São José - Am-354 - Km 11,13;Fim do Ramal do São José - Km 4,74;CAREIRO;RMM;4,74;14,42;km;"  3°41'8.51""S";" 60°20'46.15""W";"  3°39'46.53""S";" 60°18'37.40""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;VISITADO / CONCLUÍDO;;CT-00004/2017-SEINFRA;Ramal do São José;R$ 11.850.000,00;R$ 10.309.060,36
RMATZ;4;RAMAL DO kM 21 - AM-254 ;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 21,82;Início do Ramal do Km 21 - Am-254 - Km 21,82;Fim do Ramal do Km 21 - Am-254 - Ramal do Maçarico - Km 7;AUTAZES;RMM;7,00;;km;"  3°32'23.71""S";" 59°46'55.54""W";"  3°35'24.70""S";" 59°49'9.30""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 17.500.000,00;
RMATZ;5;RAMAL DO kM 26 - AM-254 ;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 26,38;Início do Ramal do Km 26 - Am-254 - Km 26,38;Fim do Ramal do Km 26 - Am-254 - Km 9,74;AUTAZES;RMM;9,74;;km;"  3°33'58.92""S";" 59°45'2.05""W";"  3°38'2.22""S";" 59°48'23.42""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 24.350.000,00;
RMATZ;6;RAMAL DO kM 26 - MD - AM-254;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 26,40;Início do Ramal do Km 26 - MD - Am-254 - Km 26,40;Fim Ramal do Km 26 - MD - Am-254 - Km 5,65;AUTAZES;RMM;5,65;;km;"  3°33'58.79""S";" 59°45'1.59""W";"  3°31'18.32""S";" 59°44'4.04""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 14.125.000,00;
RMATZ;7;RAMAL DO kM 29 - MD - AM-254 ;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 29,30;Início do Ramal do KM 29 - MD - Am-254 - Km 29,30 ;Fim do Ramal do Km 29 - MD - AM-254 - Km 15,3;AUTAZES;RMM;15,30;;km;"  3°34'27.07""S";" 59°43'33.71""W";"  3°26'36.17""S";" 59°41'46.83""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 38.250.000,00;
RMATZ;8;RAMAL DO kM 29 - AM-254;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 29,47;Início do Ramal do Km 29 -Am-254 - Km 29,47;Fim do Ramal do Km 29 - Am-254 - Km 7,89;AUTAZES;RMM;7,89;;km;"  3°34'28.39""S";" 59°43'28.58""W";"  3°38'39.36""S";" 59°43'50.74""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 19.725.000,00;
RMATZ;9;RAMAL DO kM 33 - AM-254;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 33,14;Início do Ramal do Km 33 - Am-254 - Km 33,14;Fim do Ramal do Km 33 - Am-254 - Km 8,1;AUTAZES;RMM;8,10;;km;"  3°34'49.09""S";" 59°41'32.68""W";"  3°39'2.13""S";" 59°41'57.59""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 20.250.000,00;
RMATZ;10;RAMAL DO kM 33 - MD - AM-254 ;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 33,20;Início do Ramal do Km 33 - MD - Am-254 - Km 33,20;Fim do Ramal do Km 33 - MD - Km 10,8;AUTAZES;RMM;10,80;;km;"  3°34'48.89""S";" 59°41'30.73""W";"  3°29'9.90""S";" 59°40'13.09""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 27.000.000,00;
RMATZ;11;RAMAL DO kM 36 - AM-254;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 36,25;Início do Ramal do Km 36 - Am-254 - Km 36,25;Fim do Ramal do Km 36 - Km 3,46;AUTAZES;RMM;3,46;;km;"  3°35'5.85""S";" 59°39'53.24""W";"  3°36'52.25""S";" 59°39'54.29""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 8.650.000,00;
RMATZ;12;RAMAL DO kM 38 - AM-254;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 38,74;Início do Ramal do Km 38 - Am-254 - Km 38,74;Fim do Ramal do Km 38 - Am-254 - Km 9,79;AUTAZES;RMM;9,79;;km;"  3°35'19.96""S";" 59°38'33.86""W";"  3°30'11.51""S";" 59°38'15.25""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 24.475.000,00;
RMCRO;66;RAMAL DO CINTURÃO VERDE;ESTRADA;PRIMÁRIO;BR-319;BR-319 - KM 83;Início do Ramal do Cinturão Verde - Br-319 - Km 83;Fim do Ramal do Cinturão Verde - Km 9,55;CAREIRO;RMM;9,55;9,55;km;"  3°33'52.85""S";" 60°17'41.51""W";"  3°36'33.22""S";" 60°13'41.15""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;VISITADO / CONCLUÍDO;;CT-00004/2017-SEINFRA;Ramal Do Cinturão Verde;R$ 23.875.000,00;R$ 6.827.429,01
RMATZ;14;RAMAL DO kM 41 - AM-254;ESTRADA;PRIMÁRIO;AM-254;AM-254 -  KM 41,81;Início do Ramal do Km 41 - Am-254 - Km 41,81;Fim do Ramal do Km 41 - Am-254 - Km 0,94;AUTAZES;RMM;0,94;;km;"  3°35'38.12""S";" 59°36'55.98""W";"  3°36'7.86""S";" 59°37'0.08""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 2.350.000,00;
RMITA;184;ESTRADA DO ENGENHO ;ESTRADA;PRIMÁRIO;ESTRADA DO NOVO REMANSO;ESTRADA DO NOVO REMANSO - KM 25;Início estrada do Engenho - 25 Km - Ramal do Novo Remanso;Fim da estrada do engenho - 16,3 Km - Engenho comércio de combustíveis;ITACOATIARA;RMM;16,30;16,15;km;"  3° 5'52.36""S";" 59° 4'8.31""W";"  3°10'13.83""S";" 59° 8'51.76""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;EM OBRA;;CT-00007/2023-SEINFRA;Estrada do Engenho, kM 25 da Estrada de Novo Remanso;R$ 40.750.000,00;R$ 24.843.271,97
RMTEF;464;ESTRADA DO EMADE ( OBRA );ESTRADA;PRIMÁRIO;AM-366;AM-366 - KM 392,30;Início do Ramal do Emade - Am-366 - Km 392,30;Fim do Ramal do Emade - Porto do Emade - Km 21,6;TEFÉ;INTERIOR;21,60;21,60;km;"  3°24'58.67""S";" 64°44'1.27""W";"  3°24'13.55""S";" 64°36'44.88""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;EM OBRA;;CT-00008/2022-SEINFRA;Estrada da EMADE;R$ 54.000.000,00;R$ 33.864.747,92
RMATZ;17;RAMAL DO kM 49 - AM-254;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 49,44;Início do Ramal do Km 49 - Am-254 - Km 49,44;Fim do Ramal do Km 49 - Am-254 - Km 1,17;AUTAZES;RMM;1,17;;km;"  3°36'21.58""S";" 59°32'52.86""W";"  3°36'54.54""S";" 59°33'5.49""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 2.925.000,00;
RMATZ;18;RAMAL DO kM 49 - MD - AM-254 ;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 49,66;Início do Ramal do Km 49 - MD- Am-254 - Km 49,66;Fim do Ramal do Km 49 - MD - Am-254 - Km 0,95;AUTAZES;RMM;0,95;;km;"  3°36'22.45""S";" 59°32'45.72""W";"  3°35'52.74""S";" 59°32'40.07""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 2.375.000,00;
RMATZ;19;RAMAL DO kM 51 - AM-254;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 51,22;Início do Ramal do Km 51 - Am-254 - Km 51,22;Fim do Ramal do Km 51 - Am- 254 - Km 3,92;AUTAZES;RMM;3,92;;km;"  3°36'32.12""S";" 59°31'56.15""W";" 3°38'8.72""S";" 59°31'57.32""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 9.800.000,00;
RMATZ;20;RAMAL DO ATURIÁ ;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 52,90;Início do Ramal do Aturiá - Am-254 - Km 52,90;Fim do Ramal do Aturiá - Km 4,38;AUTAZES;RMM;4,38;;km;"  3°36'16.01""S";" 59°31'3.29""W";"  3°38'19.39""S";" 59°30'8.30""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 10.950.000,00;
RMANR;3;RAMAL DO MATO GROSSO ;ESTRADA;PRIMÁRIO;R.PROF. ALMIR;R.PROF. ALMIR - KM 00;Início do Ramal do Mato Grosso - R.Prof. Almir - Km 00;Fim do Ramal do Mato Grosso - Comunidade Mato Grosso - Km 21,9;ANORI;INTERIOR;21,70;10,02;km;"  3°34'22.28""S";" 61°41'37.03""W";"  3°44'35.27""S";" 61°39'35.24""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;EM OBRA;;CT-00008/2023-SEINFRA;Ramal Mato Grosso;R$ 54.250.000,00;R$ 19.033.641,78
RMATZ;22;RAMAL SANTA MARIA;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 72,98;Início do Ramal Santa Maria - Am-254 - Km 72,98;Fim do Ramal Santa Maria - Km 4,80;AUTAZES;RMM;4,80;;km;"  3°32'34.19""S";" 59°21'12.54""W";"  3°30'35.16""S";" 59°22'43.47""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 12.000.000,00;
RMATZ;23;RAMAL DO PIRAPITINGA;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 79,54;Início do Ramal do Pirapitinga - Am-254 - Km 79,54;Fim do Ramal do Pirapitinga - Km 3,59;AUTAZES;RMM;3,59;;km;"  3°33'21.67""S";" 59°17'58.07""W";"  3°35'14.94""S";" 59°18'2.52""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 8.975.000,00;
RMATZ;24;ESTRADA NOVO CÉU;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 83,21;Início da Estrada do Novo Céu - Am-254 - Km 83,21;Fim da Estrada do Novo Céu - Am-254 - Km 18,5;AUTAZES;RMM;18,50;;km;"  3°32'9.10""S";" 59°16'25.61""W";"  3°23'3.28""S";" 59°16'25.09""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 46.250.000,00;
RMATZ;25;RAMAL DO kM 85 - AM-254;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 85,78;Início do Ramal do Km 85 - Am-254 - Km 85,78;Fim do Ramal do Km 85 - Am-254 - Km 2,52;AUTAZES;RMM;2,52;;km;"  3°31'31.04""S";" 59°15'14.92""W";"  3°30'26.77""S";" 59°14'41.72""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 6.300.000,00;
RMATZ;26;RAMAL DO kM 88 - AM-254;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 88,27;Início do Ramal do Km 88 - Am-254 - Km 88,27;Fim do Ramal do Km 88 - Am-254 - Km 2,54;AUTAZES;RMM;2,54;;km;"  3°32'1.66""S";" 59°14'5.90""W";"  3°30'57.64""S";" 59°13'33.85""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 6.350.000,00;
RMCRO;62;RAMAL DO MAÇARICO;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 18,04;Início do Ramal do Maçarico - Am-254 - Km 18,04;Fim do Ramal do Maçarico - Porto de Maçarico - Km 11,9;CAREIRO;RMM;11,90;11,91;km;"  3°31'7.27""S";" 59°48'30.25""W";"  3°37'6.67""S";" 59°48'55.91""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;VISITADO / EM OBRA;;CT-00009/2023-SEINFRA;Ramal Maçarico;R$ 29.750.000,00;R$ 15.715.606,19
RMMAO;330;RAMAL DO PAU ROSA ;ESTRADA;PRIMÁRIO;BR-174;BR-174 - KM 21 ;Início do Ramal do Pau Rosa - Perto do Paraíso 21 - Br - 174  - Km 21 ;Fim do Ramal do Pau Rosa - Km 32;MANAUS;RMM;32,00;30,24;km;"  2°47'34.89""S";" 60° 2'12.23""W";"  2°40'43.33""S";" 60°11'42.33""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;VISITADO / EM OBRA;;CT-00010/2023-SEINFRA;Ramal do Pau Rosa, kM 21 da Rodovia BR-174;R$ 80.000.000,00;R$ 80.070.079,38
RMMAO;331;RAMAL DA COOPERATIVA ;ESTRADA;PRIMÁRIO;RAMAL DO PAU ROSA;RAMAL DO PAU ROSA - KM 15,5;Início do Ramal da Cooperativa - 15,5 Km - Ramal do Pau Rosa;Fim do Ramal da Cooperativa - 33,5 Km - Comunidade Nossa Sr. de Fátima;MANAUS;RMM;33,50;33,43;km;"  2°46'53.55""S";" 60° 8'10.62""W";"  3° 1'15.78""S";" 60° 9'52.40""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;VISITADO / EM OBRA;;CT-00010/2023-SEINFRA;Ramal da Cooperativa, kM  21 da Rodovia BR-174;R$ 83.750.000,00;R$ 88.516.625,45
RMATZ;30;RAMAL TERRA PROMETIDA I;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 108,26;Início do Terra Prometida I - Am-254 - Km 108,26;Fim do Ramal Terra Prometida I - Km 2,1;AUTAZES;RMM;2,10;;km;"  3°36'52.77""S";" 59° 8'6.45""W";"  3°37'0.52""S";" 59° 7'0.18""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 5.250.000,00;
RMATZ;31;RAMAL TERRA PROMETIDA II;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 108,77;Início do Ramal Terra Prometida II - Am-254 - Km 108,77;Fim do Ramal Terra Prometida II - Km 1,67;AUTAZES;RMM;1,67;;km;"  3°37'6.28""S";" 59° 7'57.72""W";"  3°37'9.95""S";" 59° 7'3.87""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 4.175.000,00;
RMATZ;32;RAMAL TERRA PROMETIDA III;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 109,17;Início do Ramal Terra Prometida III - Am-254 - Km 109,17;Fim do Ramal Terra Prometida III - Km 1,1 ;AUTAZES;RMM;1,10;;km;"  3°37'19.28""S";" 59° 7'56.90""W";"  3°37'22.73""S";" 59° 7'23.53""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 2.750.000,00;
RMATZ;33;RAMAL DO TUMBIRA;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 110,50;Início do Ramal do Tumbira - Am-254 - Km 110,50;Fim do Ramal do Tumbira - Km 5,46;AUTAZES;RMM;5,46;;km;"  3°38'2.24""S";" 59° 7'54.69""W";"  3°39'56.88""S";" 59° 9'27.50""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 13.650.000,00;
RMATZ;34;RAMAL DO BACURI ;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 111,50;Início do Ramal do Bacuri - Am-254 - Km 111,50;Fim do Ramal do Bacuri - Km 2,14;AUTAZES;RMM;2,14;;km;"  3°38'25.35""S";" 59° 7'32.26""W";"  3°37'48.13""S";" 59° 6'36.96""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 5.350.000,00;
RMATZ;35;RAMAL DO BACURI 2;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 113,63;Início do Ramal do Bacuri 2 - Am-254 - Km 113,63;Fim do Ramal do Bacuri 2 - Am-254 - Km 1,94;AUTAZES;RMM;1,94;;km;"  3°38'25.35""S";" 59° 6'45.52""W";"  3°38'34.11""S";" 59° 5'56.47""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 4.850.000,00;
RMATZ;36;ESTRADA DO SAMPAIO ;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 114,03;Início da Estrada do Sampaio - Am-254 - Km 114,03;Fim da Estrada do Sampaio - Km 25,1;AUTAZES;RMM;25,10;;km;"  3°39'24.64""S";" 59° 6'40.25""W";"  3°50'5.18""S";" 59°10'36.43""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 62.750.000,00;
RMATZ;37;RAMAL DO REMANSO ;ESTRADA;PRIMÁRIO;ESTRADA DO SAMPAIO ;ESTRADA DO SAMPAIO - KM 5,96;Início do Ramal do Remanso - Estrada do Sampaio - Km 5,96;Fim do Ramal do Remanso - Km 2,16;AUTAZES;RMM;2,16;;km;"  3°42'5.99""S";" 59° 7'23.70""W";"  3°41'55.78""S";" 59° 6'35.61""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 5.400.000,00;
RMATZ;38;SUB. RAMAL  DA JOSEFA ;ESTRADA;PRIMÁRIO;ESTRADA DO SAMPAIO ;ESTRADA DO SAMPAIO - KM 22;Início do Sub.Ramal da Josefa - Estrada do Sampaio - Km 22;Fim do Sub.Ramal JoseFa - Km 3,97;AUTAZES;RMM;3,97;;km;"  3°48'40.07""S";" 59°10'59.26""W";"  3°49'12.16""S";" 59° 9'9.75""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 9.925.000,00;
RMATZ;39;SUB. RAMAL  AZ-3 ;ESTRADA;PRIMÁRIO;ESTRADA DO SAMPAIO ;ESTRADA DO SAMPAIO - 22,10;Início do Ramal AZ - 3 - Estrada do Sampaio - Km 22,10;Fim do Ramal AZ - 3 - Km 17, 9;AUTAZES;RMM;17,90;;km;"  3°48'45.35""S";" 59°10'58.52""W";"  3°55'18.94""S";" 59°17'9.89""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 44.750.000,00;
RMCRO;64;RAMAL DO kM 11 - AM-354;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 11,12;Início do Ramal do Km 11 - Am-354 - Km 11,12;Fim do Ramal do Km 11 - Am-354 - Km 1,26;CAREIRO;RMM;1,26;9,46;km;"  3°41'9.18""S";" 60°20'46.55""W";"  3°41'30.61""S";" 60°21'21.28""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;VISITADO / CONCLUÍDO;;CT-00012/2021-SEINFRA;Ramal do kM 11 ;R$ 3.150.000,00;R$ 22.345.266,19
RMATZ;41;RAMAL DO kM 150 - AM-254;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 150,93;Início do Ramal do Km 150 - Am-254 - Km 150,93;Fim do Ramal do Km 150 - Am-254 - Km 1,51;AUTAZES;RMM;1,51;;km;"  3°52'22.16""S";" 59° 2'43.84""W";"  3°52'32.28""S";" 59° 1'56.90""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 3.775.000,00;
RMATZ;42;RAMAL DO CURUCURU;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 56,54;Início do Ramal do Curucuru - Am-254 - Km 56,54;Fim do Ramal do Curucuru - Am-254 - Km 3,95;AUTAZES;RMM;3,95;;km;"  3°35'35.68""S";" 59°29'13.57""W";"  3°37'37.84""S";" 59°28'43.39""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 9.875.000,00;
RMATZ;43;ESTRADA DO AXINIM;ESTRADA;PRIMÁRIO;SUB.RAMAL AZ-3;SUB.RAMAL AZ-3 - KM 17,9;Início Estrada do Axinim - Sub.Ramal Az-3 - Km 17,9;Fim da Estrada do Axinim - Comunidade Axinim - Km 18,6;AUTAZES;RMM;18,60;;km;"  3°55'18.99""S";" 59°17'9.97""W";"  4° 2'23.66""S";" 59°22'26.35""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 46.500.000,00;
RMATZ;44;ESTRADA DO PURUPURU;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 22,23;Início da Estrada do Purupuru - Am-254 - Km 22,23;Fim da Estrada do Purupuru - Ao Lado do Pid Ponto de Inclusão Digital - Km 28,16;AUTAZES;RMM;28,16;;km;"  3°32'31.81""S";" 59°46'44.62""W";"  3°22'58.78""S";" 59°43'22.96""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 70.400.000,00;
RMCRO;65;RAMAL CABECEIRA DO PURUPURU;ESTRADA;PRIMÁRIO;BR-319;BR-319 - KM 22;Início do Ramal Cabeceira do Purupuru - Br-319 - Km 01;Fim do ramal cabeceira do purupuru - 8,71 Km - escola municipal aFonso de souza;CAREIRO;RMM;8,71;8,71;km;"  3°22'0.12""S";" 59°52'24.73""W";"  3°23'1.50""S";" 59°48'32.39""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;VISITADO / EM OBRA;;CT-00013/2021-SEINFRA;Ramal da Cabeceira do Purupuru;R$ 21.775.000,00; R$ 20.136.314,85 
RMCRV;71;SUB. RAMAL DO SISSAÍMA;ESTRADA;PRIMÁRIO;SUB.RAMAL DO MIRITI ;SUB.RAMAL DO MIRITI - KM 8,07;Início do Ramal Sissaíma - No Sub.Ramal do Miriti - Km 8,07;Fim do Ramal do Sissaíma - Km 11,3;CAREIRO DA VÁRZEA;RMM;11,30;11,25;km;"  3°21'22.09""S";" 59°32'0.73""W";"  3°18'57.76""S";" 59°29'3.41""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;VISITADO / EM OBRA;;CT-00016/2023-SEINFRA;Ramal Sissaíma;R$ 28.250.000,00;R$ 17.651.160,12
 RMSPO ;456;ESTRADA JOAQUIM SANTANA;ESTRADA;PRIMÁRIO;R. DEZ DE NOVEMBRO ;R. DEZ DE NOVEMBRO - AO LADO MERCANTIL KI-BARATO;Início da Estrada Joaquim Santana - R. Dez de Novembro - Ao Lado Mercantil K-Barato - Km 00;Fim da Estrada Joaquim Santana - Km 3,1;SÃO PAULO DE OLIVENÇA;INTERIOR;3,10;3,06;km;"  3°27'55.58""S";" 68°57'39.70""W";"  3°28'11.04""S";" 68°59'0.19""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;CONCLUÍDO;;CT-00019/2021-SEINFRA;Estrada Joaquim Santana;R$ 7.750.000,00;R$ 5.577.367,02
